Timestamp,cpu_usage,memory_usage,disk_io,network_latency,pod_restarts,failure_type
2025-03-11T00:00:00Z,0.59934283060225,0.36430105390256,0.33482862476668,399,1,NoFailure
2025-03-11T00:01:00Z,0.47234713976576,0.43890010738927,0.32833235925357,467,0,NetworkIssue
2025-03-11T00:02:00Z,0.62953770762014,0.38052378779097,0.20634801541945,383,0,ServiceDisruption
2025-03-11T00:03:01Z,0.80460597128161,0.52208360938922,0.35795842217637,471,1,NetworkIssue
2025-03-11T00:04:01Z,0.45316932505533,0.73943570629238,0.15099173244234,491,1,NetworkIssue
2025-03-11T00:05:02Z,0.45317260861016,0.34579156857176,0.23458156742397,474,1,NetworkIssue
2025-03-11T00:06:02Z,0.81584256310148,0.70016409955368,0.10009121871022,171,1,NoFailure
2025-03-11T00:07:03Z,0.65348694583058,0.34366558553062,0.45586265169628,327,1,NoFailure
2025-03-11T00:08:03Z,0.40610512281301,0.33047455750062,0.27684505060547,478,3,NetworkIssue
2025-03-11T00:09:04Z,0.60851200871719,0.66371892366864,0.51668840348163,21,1,NoFailure
2025-03-11T00:10:04Z,0.40731646143751,0.68438727560152,0.38029499265195,63,1,NoFailure
2025-03-11T00:11:05Z,0.40685404928595,0.67028198735253,0.3448098213351,60,0,NoFailure
2025-03-11T00:12:05Z,0.54839245431321,0.23684051835637,0.2413772305719,345,1,NoFailure
2025-03-11T00:13:06Z,0.11734395106844,0.40680980438559,0.19536499643126,282,1,NoFailure
2025-03-11T00:14:06Z,0.15501643349739,0.66459771840066,0.35229715738969,313,3,ServiceDisruption
2025-03-11T00:15:07Z,0.38754249415181,0.50830836811278,0.2928485990727,485,0,NetworkIssue
2025-03-11T00:16:07Z,0.29743377593312,0.28526143076051,0.16607296845147,192,1,NoFailure
2025-03-11T00:17:08Z,0.56284946651905,0.59166358782509,0.14831415834917,28,0,NoFailure
2025-03-11T00:18:08Z,0.31839518489576,0.35703854820171,0.20412962708564,72,2,ServiceDisruption
2025-03-11T00:19:09Z,0.21753925973294,0.85890496967844,0.48209672252662,303,2,NoFailure
2025-03-11T00:20:09Z,0.79312975378431,0.80896829248365,0.52132779180113,147,0,NoFailure
2025-03-11T00:21:10Z,0.45484473990269,0.62081948527111,0.32049891473089,38,2,NoFailure
2025-03-11T00:22:10Z,0.51350564093758,0.77220134095395,0.31489427962413,471,0,NetworkIssue
2025-03-11T00:23:11Z,0.21505036275731,0.51295827002468,0.26636796281705,151,1,NoFailure
2025-03-11T00:24:11Z,0.39112345509496,0.653087498875,0.20655146516905,32,3,NoFailure
2025-03-11T00:25:12Z,0.52218451794197,0.79554405906042,0.43751790576072,239,1,NoFailure
2025-03-11T00:26:12Z,0.26980128451554,0.54909973635886,0.48735763938971,286,0,ServiceDisruption
2025-03-11T00:27:13Z,0.57513960366913,0.44896256569714,0.21065809141607,264,2,NoFailure
2025-03-11T00:28:13Z,0.37987226201624,0.15907560836458,0.29171616215754,277,1,NoFailure
